1962,0,0,41,1,1,0,0,0,0,10,0,31,1,0,33,0,0,0,0,0,1.4,6.2,1,0,0,3,23,0,0,54.4,6.6,0,9,21.2,12,17,0,4.2,7.6,5.2,7,1.6,0,0,0,0,0,0,0,19.8,0,0,39,26.4,2.8,3,0.3,0,0,58,18,12,0,2,1.6,12.2,17.2,11.8,1.2,21.6,11,5.4,11.4,34,52.8,11.6,12,10.6,2.2,3.4,23.8,18.2,3.3,2.6,12.3,0,6.7,5.4,4.8,49.7,8.1,11.1,0,0,0,0,24,44.4,12.1,0,30,0,0,0,0,4,0,0,0,0,27,1,0,0,5.4,1,28.5,0,0,0,0,0,0,1.1,0.2,12.6,3.6,32.2,16.4,4.5,0.7,14.3,30.2,1.6,22.7,15.1,52.8,16,14.9,0.2,0.5,0,0,2.9,1.6,0.6,9.3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,10,9.2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.1,0,32.9,0.7,11,0,0,4,40.4,0,0,3.4,40,0,0,1,0,0,0,2.5,3,4.8
1994,0,0,0,0,0,0,0.8,2.8,0,0,0,0,0,0,0,0,0,0,14.7,0,0,8.8,0,0,0,0,8.4,0.7,13.6,0,0.2,0,0,0,0,0,0,0,0,0,2.3,0.5,3.4,0,1.7,0.3,39.3,0.3,0.5,5.4,25,5.6,16.5,77,5.3,73.4,1,10,1.4,0,0,29.6,4.8,1.4,14,2.3,1.8,0.9,24.2,8.3,18.5,0,0,0,0,7.8,0.1,13.2,0,0.6,0,5.4,22.9,27.5,1.4,0,0.8,0.5,0.2,1,6.7,0.1,1,3.6,9.2,7.1,14.6,6.8,0.6,0.8,0,0,0,0,0,0,0,0,0,0,0,38,0,0,13.8,11.7,6.3,2.4,57.4,12.4,0,8.5,10.4,8.6,0.2,62.3,5.7,0.4,0,0,0,24.9,2.8,7.5,15,1.6,0.1,3.2,5,0.6,7.1,3,0,4.6,0.7,0,0,0,0,3.8,1.2,1.1,0,0,0,0,0,0.4,0,40.4,0.3,0,0,0,0,0,7.3,0,6.2,23,31.8,0,5.6,7,0,0,8.4,62.1,9,27.8,22.7,0,19.2,0.1,16.4,0.6,0,4.8,4,1.2,3.1,0,0,0,0,0,0,0,0,0,0,1,5,60.4,16.9,0,7.6,0,0,0,0,0
1995,0,0,0,0,0,0,13.6,30.8,0,0.2,4.1,2.9,13.8,0,0,0,0,0,0,0.2,53.6,1.8,4,0,0,0,0,0,17.4,0.5,1.4,3.8,15.8,14.2,24.7,18.8,0.9,0,0,0,1.6,2,1.8,31.6,0,1.4,7.6,0,0,26.4,1,0.4,0,0,9.3,3.6,2.7,0,0,15.9,8.4,6,0,0,4.5,9.5,0,0.5,13.1,56.1,0.1,4,1,15.9,32.8,7.2,1.1,0.4,0,0,0,11.2,0,12.2,0,0.5,8.8,5.6,38.2,1.3,14.1,0.1,0.2,8,0.1,0,0.1,0,0,0.3,0,2.2,38.1,2.2,19.9,6,0,0,0,0,0,0,0,2.2,0,0,0,0,0,0,0,5.4,0,0,0.4,0.8,12,1,0.3,11,0.8,0,0,0,0,10.8,0,0,0,0,0.4,1,2.9,20.6,0.9,2.3,3.1,11,3.7,0,8.1,0,0.6,8.5,1.1,40,19,40.4,10,16.2,0,5.4,0.7,0.5,32.6,0,0.4,0,1.6,0,0,4.5,0,0.3,1.6,0,0.7,7.2,0.2,12.5,0,0,0,0,0.3,0,0,0,0,0,0,0,14.8,0,11,15.1,16.7,3.1,0.5,1.2,0,24.6,1.4,0,0,0,0,0,0,0,0,0
1996,0,0,11.8,0.8,0,4.6,7.1,0.5,0,0,0,0,0,4.5,0.1,4.7,0,2.6,0,1.6,2.4,16.6,0,0,0,34.2,0,0.6,0,12.8,2.4,22.7,0.3,4.3,2.1,3.6,35.3,0,0,0,0,0,0,0,0,6.4,16.8,24,0.1,4.5,15.2,15,6.4,19.4,49.4,3.9,0,11.8,1.2,1.1,7.4,11.2,9.1,0.2,0,0,0.2,12.6,1.3,13.1,13,23,51,1,0,1.2,0,0,0,0,21.4,21.3,3.3,16.1,5.6,6.5,7.4,12.1,13.3,0.4,1.9,4.6,23,1.3,3,75.2,29.4,12.1,3.4,0.4,0.2,0,1.1,0.7,5.6,0,10.2,0,39,0,4.2,0,6.7,5.3,4.2,0,9,16.8,5.5,2,29.4,19.1,8.6,0,0,1.6,7.8,0,0,0,0,0,0,0,1.9,0,3.6,0,0,0,11,0,0,22.9,0,0,0,0,18.5,1.6,0,28.7,22.9,0.6,1,14.4,29.3,10.2,18.4,0,1.6,0,0,0,16.4,17.3,0.3,5.5,15.5,11.1,30.9,11.6,52.6,0.4,32.4,0,0,0,3.2,8.6,12,27,11.9,1,24.4,0.2,12.9,0,35,0,0,0,0,0,0,3.1,0,1.4,1.4,8.2,0,0.4,19.5,2.7,1.1,0,0,0.1,12.5,0,0,0.1
1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.7,1.9,0,0.5,5.3,0.1,0,47.1,0,0.2,0,0,7.5,0,0.1,0.6,0,0,0,0,0,0,0,5.6,1.1,3.3,31,19.1,0.2,24,1,27.6,34.4,10.3,1.6,0,1.6,2.3,1.5,7.1,1.6,11.3,1.1,2.1,0,0.2,0.4,23.3,1,4,0,14.9,4.6,0,16.9,10.4,1.3,0,4,0.1,31.4,1.3,27.5,0,0,0.2,2.7,0,0,0,6.1,1.4,5.6,0,0,0,0,0,0,0,0.1,0,9.6,18.4,9.5,2.9,0,26.1,9.7,0,0.4,0.8,0.1,2.4,93.6,0,10.2,2,0,0,10.1,24.7,10,4.2,0.4,11.1,3.6,0,0,0,0,10.2,0,0,15.9,0.6,1.1,0.7,0.2,10.6,9,1.8,2.4,5.4,0.2,0,11.2,22.9,4.8,0,12.5,0.2,14.8,0,0,0.1,9.4,0,0,0,0,0,0,0,0,6.1,0.5,2.4,71.1,54.5,0,65.2,0,0,0,0,12.8,0,0,1,5,35,0,0,0,0,0,35.4,0,0,0,0,0,0,17.1,0,0,0,0,0,0,0,0,12.2,0.3,0,0,0,0,0,0,0,0,0,2
1998,0,7.7,0,0,0,0,0,0,0,10.3,0,12.9,11.8,5.4,0.6,0,29.8,15,0.1,21.8,0,0.1,1.9,0,0,0,1,0,0,0,7.4,0.7,14.8,1.7,0.8,14.4,0,0.1,0,10.9,20.2,10.7,11.2,0,14.9,14.6,0,1.9,1.5,7.5,2.3,14.6,19.1,7.6,20.9,53.1,7.6,1.2,0.2,47.4,0.6,4.1,2.2,29.3,21.4,0.8,2,3.1,0,0,0,0,0,4.4,0,4.6,4.6,20.8,0,1.6,0.1,6.1,21.1,0.9,16.7,4.6,0.4,0,0.2,18.1,0,0.7,6.3,0.2,0.2,0.9,0,5.9,1,0.2,0.6,0.2,0,8,3.1,9.2,3.4,0,2.8,3.6,0,0,0,0.4,0,0,0,0,0.9,6.2,14.4,3.2,0.6,8.8,0,0,0,0,0,0,15.2,0,0,0,14,4.6,0,0,0,0,0,0.3,40.8,0.4,0.6,15.8,0,0,1.4,6,0.7,46.2,6.9,12.2,0,18.4,5.1,6.5,10.1,6.2,0,0,0,6.6,11.8,52.4,2.3,34.8,8.2,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,24.3,0,0,0,36.4,0,0,0,0,0,0,0,0,0
1999,2.2,6.1,0,66.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,47.3,0.9,1.4,7,43.5,0,18.4,0,0.4,0,0,0,0,0,5.7,58,1.7,2.3,9.1,36.9,0,6.9,8.7,0,0,12.4,1,5.6,11.5,15.1,6,10.4,2.4,13.7,5.2,60.4,6.2,0.1,10.5,0.1,0,0,2.9,21.4,31,23.3,1.8,10.9,0,0,0.3,0,3,0.4,5.6,11,7.8,0,0,0,0,2.4,35.2,43.8,2.9,0.4,0,0,1,0.1,1.3,14.4,26,2.9,3.4,17.6,23,0,0,0,0,0,0,0,0,0,0.4,0.1,0,6.6,5.5,5,0,6,2.4,5.8,0.2,0,0,8.9,0.5,2.2,4.2,3.6,0,4.3,10.6,7,0,1.1,2.9,10.7,15.2,21.1,14.3,1.3,0,0,14.4,9.9,10.6,0,7.3,0,0,0,0,23.3,4,0,0.5,9.3,0.2,39.2,0,0,0,0,22.6,45.3,14.6,0.2,1.4,0,0.4,2.9,17.7,8.7,34.9,0.6,0,0,0,0,0,0,0,0,31.1,0,0,0,0,0,0,0,0,0,0,0,0,4.1,21.5,2,0,16,0.3,0,36.5,0,15.4,2.7,0,0,0,0,0,0,0,0
2000,0,0,0,0.1,0,0,37.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4,0,0,0,0,0,102.1,34.2,22.3,22.7,0,8,13.5,5.8,31.8,0.3,6.3,0,0,0,0,1.2,4.5,2.6,27.8,24.2,3.6,0,24.8,0,2.9,11.8,0,0,3.5,16.2,7.1,13,0.1,1.6,4.5,7.4,0,0,2.4,0.4,3.1,5,3.1,19.6,4.8,4.2,1.2,4.4,2.2,4.6,0.3,0,2.5,4.4,0,0.2,1.2,10.4,0.1,0,0,36.8,0,30.9,22.8,36.2,3.4,4.6,0,0,0,8.4,0,0,0,0.2,1.5,3.2,0,0,0,0.1,0,1.4,49.9,2.9,1.9,27.9,1.9,3,0,0,0,10.1,0,0,24,2.7,0,0,0,0,3.3,4.9,0,0,0,0,0,11.3,0.1,1.4,1.5,0,0,0.2,15.1,2.6,0,19.4,1.5,1.8,16.1,0,4,3.5,0.6,4.7,9.4,4.2,0,0,17.2,54.8,7.4,21,24.8,0,3.3,0.1,0,0.2,7.7,3.5,0,0,1.9,0,0,0,0.9,5.2,0.1,17,0,0,10,0.3,28.6,0,0,0,0,0,0,0,11.6,2.9,0,0,0,0,0,69.4,22.6,0,0,0,0,0,0,0,0,0
2001,0,0.5,5.3,0,1.2,29.4,0,0,3.2,0.5,0.3,0,0,0.4,1.6,2.6,2.6,13.4,40.9,13.9,0,10.7,0,0,0,0,0,0,0,6,0,0,13.4,17.7,4.4,6,0,2.9,2.1,1.3,6.9,0,9.6,24.8,0.6,2.3,0.2,21,0.2,14.6,2.6,5.6,2.7,0.9,4.1,24.5,0,0.7,0,9.8,20.7,4.7,4,7.4,0,0,2.2,21.4,4.2,0,0,0,0,0,0,1.1,42,8.3,0.2,0.2,8.6,6.9,0.7,3.3,15.3,4,0.4,9.3,2.3,13,24.1,7.8,0.9,11.7,0,12.3,0.7,6.5,0,2,23.7,7.5,0,14.3,0,8.9,2.4,8.6,20.5,15.9,24.7,9.3,1.8,0,0,0,0,0,0,22.8,12.5,1,0.3,33.3,10,1.8,30,0,0,4.1,4,16.8,11.6,0.2,11.4,12.3,0,0,0.3,0.1,40.4,29.3,10.1,5.6,0,0,0,0,6,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1,25.5,45.2,3.9,1.2,0.3,10,0.1,3.6,0.4,19.3,0.2,13.9,0.1,0,0,0,0,0,0,0,0,0,0,5.3,11.1,0.5,71.4,0.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,0,0,0.1,0,0,28.7,0,0,0,0,0,0,0,0,0,0,0,4.3,0,0,0,0,0,0,0,0,0,8.2,4.4,0.2,11.6,24.9,0,5.3,5.9,3.9,6.1,10.9,0.3,0,10.9,0.1,0,40.5,0,0,0.2,0,0,0.5,0.6,0,20.3,10.8,33.4,0.5,0,0,0,0,0,0,0,0,0,0,0,3,0.1,22.4,3.3,11.2,6.1,14.6,18.2,4.6,33.3,1.8,3.3,20.2,2,0,4.3,4.5,23.8,0,5.9,41,1.6,31.9,94.8,19.2,14.5,4.6,7.1,26.8,0.8,14.5,4.8,2,0,0.1,3.1,17.2,0,8.1,18.7,5.6,5,23.8,0.1,0.3,37.4,1.1,13.7,0,0.1,0,0,0,0.2,15.9,3.9,2.3,0,9.1,0,0,0,1,7.6,0,0,0,0,0.5,0,33.9,10,59.7,2.6,0.6,2.3,9.8,1.6,0.1,0,0,0,0,0,0,52.2,27.8,0.2,17,0,0,0,7.2,10.8,4.9,36.8,9.3,0.6,0,13.1,0,0.6,1.9,1.1,0.7,6.2,0.7,1.7,0.2,6,2.2,0.8,0.3,4.4,1.5,0,4.8,0,0.7,7.8,29,1.3,0,0,0,0,0.4,26.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,0.2,0,0,0,0,0,0.4,34.8,0,0.8,4.5,0.2,0,0,0,0,0,0,0,0,0,0,6.6,1.9,1.5,0,6.6,6.6,0.6,0,0.1,0.7,1.5,9.8,0,0,4.4,5.1,28,4.2,14.2,10.6,0,0,32.5,19,0,25.1,1,30.6,11.8,1.2,0,0,0,0,1.9,0,24.5,0,50.3,1.1,0.8,19,0.4,0,0,4.2,3.5,1.2,19.2,7,0,0,0,0,0,0,0.2,0,0,0,0,11,0,0.1,17.8,0,70.4,20.7,14.3,0.6,0,3.4,0,20.7,0,14,1.3,2.8,2.5,0.2,3.6,21.3,1,3,0,25,29.7,9.6,3.9,5.3,36.8,8.8,3.2,9.9,40.5,37.4,35.4,22,3.1,0,0,15.9,15,36.3,23.9,2.1,0,42.3,29.9,2.3,52.5,10,8.6,1.3,2,0.6,4.1,0,66.4,14.7,23.3,2.3,43.3,3.2,1.4,3.8,6,10.7,0,0.4,2.2,0,5.6,0.3,55.4,13.1,1,0,0,0,0,0,0.2,27,26.2,2.1,4.3,8.6,0,12.5,2.4,1.1,0,31.4,0,18.3,15.6,34.9,0.4,1.9,2.3,10.7,6.8,8.9,33.1,0,15,7.5,0,12.1,26.8,4.4,10.3,6.7,1.6,8.5,2.3,1,0,0,0,0,0,0,0,0,0,1.6,13.9,0
2004,0,0,0,0.6,0,0,0,0,38,2.7,3.8,12.4,0,0,0,0,0,0.2,0,0.7,3.8,0.1,0,13.1,1.8,24.7,48.7,10.7,11,0,0,5.8,2.9,0,0,0.1,8.9,0.6,11,1,1.6,0,0,0,4.3,0.1,40.4,0,1.4,4,9.8,4.6,0,2.2,0,0,0,0.8,0,1.4,3,0.1,1.6,0.1,0,0,0,0,0.6,0,4.9,0.4,3.9,0.1,0.5,9.8,15.9,2.2,2.5,0.5,0,10.6,0.2,2,0.6,5.5,0,26.8,28.6,2.6,6,0,0,2.8,7.5,11.1,33.1,2,0.3,0,41.2,29.8,0,1.2,1.6,6,1.1,33,0.5,1.6,4.8,0,1.3,0.2,2.9,5,0,0.1,0,8.8,25.8,9,14.5,5.8,55.4,24.8,0,0,0,0,2.5,0,0,10.2,19.1,6.3,0,0,8.1,0.3,18.3,0,1.6,0,0,0,0.2,0,1.4,0,110.7,15,15.6,1.1,11.7,66.5,15.3,0,0,0,7.4,0,7.4,0,0,0,13.4,0,43.9,0,2.6,31.3,1.4,12.7,0,0,0,18.2,29.1,6.7,0,0.5,0,11.8,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.7,0,0.7,0,0,5.8,1.6,2.2,1.5,2
2005,9.5,0,0,0,2.4,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,1.2,2.4,0,0,0,40.8,0,0.3,0,9.8,1.3,0,22.6,5.3,0,0,0,2.3,38.8,13.8,0.6,13.8,0,0,4.5,1.3,18,0.4,0,2.7,28.5,5.2,0.1,19.4,5.3,0,16.7,16.1,21.9,0,7.7,40.7,10.6,52.1,4,2.5,34.1,0.7,23.5,18.9,34,0,26.1,54.7,5.7,3.5,23.4,3.1,0,0,0,0,0,0.6,4.7,19.8,0,29.2,0.7,2.8,0.1,4.7,10.7,0,23,12.5,2.1,7.8,2.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,33.3,9,7.2,7.5,18.6,62.5,1.3,0.1,0,0,16.4,0,21.6,0,33.8,0,0,5.3,2,0.8,1,0,0,6.4,2,13.8,0,2.8,0.5,0,0.6,2.4,0,34.8,0,0,5.9,0,0,2.4,11.2,44.1,0,30,1.3,1.9,2.2,9.3,4.3,23.2,0.7,1.3,15.5,0,0,0,1.8,0.1,19.9,0.9,0,4.5,42.7,0.2,8.4,0.1,0,0,5.8,0.9,18.8,15.5,11.2,2,1,8.6,0,0,0,0,35.7,33.4,0,0,0,0,0,0,0,0,0,0,0
2006,0.3,2.8,0.4,8.9,2.7,12.4,3.2,69.7,5.3,42,1.6,26.9,19.1,33.7,0,0,3.7,10.1,29.2,14.3,1.7,0.3,84.8,15.1,8.5,13.5,103.1,0,12.7,0,0,0.5,19.4,2.2,19.9,4.4,5.4,17,39.8,0.6,7.4,5.2,0,0.1,0,0,0,0,0,0,0,0.8,1.7,26,0.3,0,22.8,1.8,17.2,2.9,0,17.2,1.4,3,0.3,0,0.6,1.1,1,15,0.3,0,71,1.1,1.4,13.8,1.1,0.2,28.9,13.4,1.1,0,0,0,0,0,0,1.1,3,1.2,2,3,71,32.3,9.2,4.2,0,3.8,20.1,1.6,0,0,0.9,1.1,15.2,11,20.9,0.4,11.8,0,15.8,0,0,0,1.1,1,20.7,2.7,2.5,8.8,6.8,1,5.6,2.7,2.8,8.6,36.4,9.1,2.1,16.8,27.2,2.7,0,0,8.8,13.9,22.9,3.6,0,0,29,13.6,7.9,13.9,0,0,0,0,33.9,4.8,5.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.6,4,10.6,0,0.1,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.9,0.3,0.1,0,0,0,0,0,0,8.8,13.3,4,4.7,0,0,0,0,0,1.6,0,0,0
2007,0,4.7,0,0,0,0,0,0,0,0,0,0,16.8,1,0,0,0,0,4.1,0.2,0,0,1.8,0,1,5.3,2.2,0,0,0,1.2,0.4,3.7,41,0,19.2,13.4,3.2,0,0,28.3,35,0,6.8,5.3,3.8,4,0,0,0,0,0,0,3.6,0,0,49.5,7,0,0,4.3,37,1.4,14,0,22.5,0,0,13.1,57.2,6.7,10.5,4.6,0,32.8,0.1,0.7,8.5,0.9,30.9,4.7,10.1,4.3,1.9,5.8,3.8,0,0,0,0,0,0,0,0,0,0,0,0,4.2,0.1,4.5,23,0.1,1.9,11.6,0.1,0,0.9,44.3,0.9,16.8,0,21.8,0.1,11.2,3.2,15,2.1,12,18.7,0.6,2.8,5.1,1,0,6,5.2,0.3,7.4,9.8,12,0,0,0,0,0,0,0.6,11,2.2,0.1,1.5,2.1,90.4,0.4,0.2,1.9,0,20.4,1.2,41.5,27.3,10.8,3.6,2.6,27.5,0,12.4,16.3,1.4,1.6,8.4,3.4,0,17.8,0.8,0,12.1,0,0.7,0,0,0,0,0,19.6,2,0.2,0,21.8,0,50.5,0,0,0,0.3,71.8,11.2,12.3,4.2,0,0,0,0,0,1.1,0,25.4,0.2,0.2,0,0,0,0,0,5,0.4,0,0,71.6,7.2,0
2008,0,13.7,1.2,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,6.6,0,0,0,0,0,0,0,12.1,0,0,0,18.6,0,11.6,0,0,9.6,1.2,21,39,14.4,0.3,0,10.4,0,3.8,11.2,0.1,7.9,1.3,4.7,2.3,0,0,34.6,5.7,65.5,0,35.6,1,34.2,6.8,0,0.3,1.2,0,0,0,21.6,3.3,0,1.1,0,16.3,19.6,17.2,4.8,8.7,3.1,42.6,47.9,0,1,5.6,1.7,2.7,31.4,14.9,0,2.7,22.3,0,1.7,8.8,15,9.2,4.1,14.4,0.2,0,0,0,0,0,0,4.4,0,25.8,20.9,9,1.2,27.2,23.2,5.4,1,0.1,0.5,5.7,0,0,3.1,0,32,13.1,1.3,0,0,0,14.8,0.1,16.4,2.4,0,0.7,11.8,2.6,0,0,0,0,0,0,0,11.7,21.3,1.7,0,0,0,0,0,0,0,0,8.1,0,5.6,0,3.7,4,0,0,0,0.5,0.2,7.9,0,0.5,0,1.1,4.4,0.2,2.4,4.1,14,16.9,3.2,2,2.2,0,2.9,0.2,57.9,59.9,19,0,17.4,2.4,7.8,0,0.4,98.1,0,0,52.8,0.4,0,0,0,0,0,0,0,9.2,7.2,74.5,0,0,0
2009,0,0,0.2,4.2,0.6,6.4,0,0,8,26,4.8,0,10,5.4,0,6.4,0,48.8,0.2,1.4,2.8,4.8,5.1,4.1,0.6,38.7,26.4,21.8,26,7,0.2,0,0,5.2,32.8,13.6,5.3,9.2,0,0.2,11,20.8,1.2,30.6,0,0,0,0,0,2.4,28,0,0,0.2,14.3,0,16.4,2.6,0.2,0,4.5,1,67.4,2.6,0.1,18,6.7,26.4,0.4,0,8.4,0,0,0,0,8,0,0.2,0,1.8,0.5,18.9,27.1,13,22.8,0,17.1,5,42.8,0.6,6.4,2.5,5,13.2,0.2,0,0,0,11.2,16.2,0.1,0,0,0,22.4,7.6,14,0,0.2,0,0,0,6,0,11.9,0.6,0,0.9,2.4,1,1,4.2,0,0,0,0,0,0,0,13.2,1,1.1,0.5,0.2,0.8,0,0,0,0,0,0.6,12.2,0,0,0,0,0,0,3.9,0,2.8,0.9,0.2,1.5,6.1,23.9,0,18.5,11.8,0,5.9,0,0,0,0,0,0,0,0,12.2,31.9,43.7,0,0.3,25.3,1,3.1,0,3,0,47.6,12.5,6.2,74.2,8,40.6,55.9,5.1,45.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
